1,Mexico,18/09/2022,04:50,67
2,Paris,18/09/2022,19:45,94
3,Baku,18/09/2022,18:20,45
4,Munchen,18/09/2022,16:50,75
5,Baku,18/09/2022,06:40,49
6,Amsterdam,18/09/2022,03:30,34
7,Munchen,19/09/2022,01:0,76
8,Istanbul,19/09/2022,22:20,13
9,Chicago,19/09/2022,00:15,78
10,Barcelona,19/09/2022,10:50,44
11,Manchester,19/09/2022,11:00,52
12,Mexico,19/09/2022,19:55,106
13,Amsterdam,20/09/2022,17:20,67
14,Rome,20/09/2022,06:55,34
15,Rome,20/09/2022,14:30,39
16,Mexico,20/09/2022,09:10,29
17,Manchester,21/09/2022,10:45,54
18,Barcelona,21/09/2022,13:40,83
19,Chicago,21/09/2022,07:25,86
20,Paris,21/09/2022,16:10,71
